"A/B","Dept ","UNFI UPC","Item #","Vendor","Pack Size","Description","featured or tpr","line notes","Reg Case","Total Discount","Sale Case","Rebate per unit","Net Sale Unit","Sale Price","Margin"
"TPR","Body Care","1-87132-00210-9","C210","Alaffia","6/2 OZ","SHEA AND RED PALM NURTURING LOTION, TRAVEL","TPR","Direct",$10.74,20%,$8.59,,$1.43,$2.69,47%
"TPR","Body Care","1-87132-00211-6","C211","Alaffia","6/2 OZ","SHEA BUTTER BODY MILK, TRAVEL","TPR","Direct",$10.74,20%,$8.59,,$1.43,$2.69,47%
"TPR","Body Care","1-87132-00212-3","C212","Alaffia","6/2 OZ","SHEA BUTTER KOLA GINGER LOTION, TRAVEL","TPR","Direct",$10.74,20%,$8.59,,$1.43,$2.69,47%
"TPR","Body Care","1-87132-00213-0","C213","Alaffia","6/2 OZ","HONEY AND SHEA NOURISHING SHAMPOO, TRAVEL","TPR","Direct",$10.74,20%,$8.59,,$1.43,$2.69,47%
"TPR","Body Care","1-87132-00214-7","C214","Alaffia","6/2 OZ","HONEY AND SHEA NOURISHING CONDITIONER, TRAVEL","TPR","Direct",$10.74,20%,$8.59,,$1.43,$2.69,47%
"TPR","Body Care","1-87132-00215-4","C215","Alaffia","6/2 OZ","SHEA AND VIRGIN COCONUT ENRICHING SHAMPOO, TRAVEL","TPR","Direct",$10.74,20%,$8.59,,$1.43,$2.69,47%
"TPR","Body Care","1-87132-00216-1","C216","Alaffia","6/2 OZ","SHEA AND VIRGIN COCONUT ENRICHING HAIR LOTION, TRAVEL","TPR","Direct",$10.74,20%,$8.59,,$1.43,$2.69,47%
"TPR","Body Care","1-87132-00045-7","C045","Alaffia","24/.15 OZ","SHEA BUTTER AND RED PALM LIP BALM, TANGERINE-CLOVE","TPR","Direct",$43.05,20%,$34.44,,$1.44,$2.69,47%
"TPR","Body Care","1-87132-00085-3","C085","Alaffia","24/.15 OZ","SHEA AND COCOA BUTTER LIP BALM, NATURAL MOCHA","TPR","Direct",$43.05,20%,$34.44,,$1.44,$2.69,47%
"TPR","Body Care","1-87132-00086-0","C086","Alaffia","24/.15 OZ","SHEA BUTTER AND BAOBAB LIP BALM, ORANGE-MINT","TPR","Direct",$43.05,20%,$34.44,,$1.44,$2.69,47%
"TPR","Body Care","1-87132-00069-3","S069","Alaffia","EA 3 OZ","COCOA BUTTER SOAP, VANILLA MOCHA","TPR","Direct",$2.37,20%,$1.90,,$1.90,$3.49,46%
"TPR","Body Care","1-87132-00072-3","S072","Alaffia","EA 3 OZ","COCONUT AND SHEA BUTTER SOAP, REFRESHING COCONUT","TPR","Direct",$2.37,20%,$1.90,,$1.90,$3.49,46%
"TPR","Body Care","1-87132-00073-0","S073","Alaffia","EA 3 OZ","RED PALM AND SHEA BUTTER SOAP W/ MELON SEED, AFRICAN SUNSET","TPR","Direct",$2.37,20%,$1.90,,$1.90,$3.49,46%
"TPR","Body Care","1-87132-00075-4","S075","Alaffia","EA 3 OZ","SHEA BUTTER FACIAL SOAP W/ROOIBOS AND GOATS MILK, YLANG YLANG","TPR","Direct",$2.37,20%,$1.90,,$1.90,$3.49,46%
"TPR","Body Care","1-87132-00080-8","S080","Alaffia","EA 3 OZ","SHEA BUTTER SOAP, LAVENDER MINT","TPR","Direct",$2.37,20%,$1.90,,$1.90,$3.49,46%
