"Bill to","Contact","Phone","Member/#","Size","Color","Notes","IN?","Ad?",
"ALAKEF COFFEE ROASTERS 1330 E SUPERIOR ST DULUTH, MN  55805","ROY","218-724-6849","YES","  1/10","B/W","run until ""no""","x","x",
"ACUPUNCTURE BY THE LAKE, 1301 RICE LAKE RD, DULUTH, MN","KAREN HALVERSON","218-279-5518","YES/4243","  1/20","B/W","NEW AD","x","X",
"BASIC KNEADS CHERIE KENNEDY 3064 S CHICAGO AV SUPERIOR, WI 54880","CHERIE KENNEDY","712-394-4394","NO","  1/15","B/W","run until ""no""","x","x",
"BURRITO UNION 1332 E 4TH ST, DULUTH, MN 55805","TIM","218-348-4557","YES/1125","  1/10","B/W","OLD DELIVERY AD","x","X",
"CHERYL LARSON 4206 TURNER RD DULUTH, MN  55803","CHERYL LARSON","218-349-8138","YES","  1/20","B/W","run until ""no""","x","x","NO MANUAL OSTEOPATHY!!!"
"CONSERVATION TECHNOLOGIES 4804 ONEOTA ST DULUTH, MN  55807","DAVE","218-722-9003","YES","  1/10","FULL","run until ""no""","x","x",
"CURRAN TAX SERVICE 230 E SUPERIOR ST DULUTH, MN  55802","TOM CURRAN","218-720-6000","YES","  1/10","B/W","run until ""no""","x","x",
"DULUTH-SUPERIOR FRIENDS MEETING, c/o MICHAEL LATCH, 1509 E 1ST ST, #9, DULUTH, MN 55812","MICHAEL LATCH","218-260-7047","YES/6051","  1/20","B/W","NEW AD","x","X",
"ECO JULIE MC DONNELL 400 W SUPERIOR ST, DULUTH, MN 55802","JULIE MC DONNELL","218-626-1118","YES","  1/10","FULL","NEW AD","x","X",
"EDGELIFE, 14590 BOWERS DR, RAMSEY, MN 55303","GARY BECKMAN","763-427-7979","NO","  1/ 5","FULL","NEW AD","x","X",
"FITGER'S BREWHOUSE 600 E SUPERIOR ST DULUTH, MN  55802","TIM","218-726-1392","YES","  1/10","B/W","NEW AD","x","X",
"FRANK DAVIS,PO BOX 605  COOK, MN 55723","FRANK DAVIS","218-290-5417","YES/8922","  1/10","COLOR","run until ""no""","x","x",
"GREY DOFFIN, 720 W 4TH ST, DULUTH, MN 55806","GREY DOFFIN","218-726-0395","YES/179","  1/20","B/W","run until ""no""","x","X",
"HEALING POINT OF DULUTH 1809 W KENT RD, DULUTH 55812","JODIE COPE","218-428-1893","YES","  1/20","B/W","run until ""no""","x","x",
"HOLISTIC HEALTH & HEALING 120 CHARLOTTE PL DULUTH 55803","MICHELLE RUSSELL","218-724-3679","YES/8911","  1/20","FULL",,"x","X",
"INTEGRATED PHYSICAL THERAPY MEDICAL ARTS BUILDING 324 W SUPERIOR ST STE 428 DULUTH, MN 55802","REBECCA LEE","218-722-3800","YES/4305","  1/15","B/W","run until ""no""","x","x",
"JAYSON BIXLER HOMEOPATHIC PRACTITIONER, 31 W SUPERIOR ST, STE 502, DULUTH, MN 55802","JAYSON BIXLER","218-348-7728","YES/8418","  1/20","FULL","NEW AD","x","X",
"KATE BY COURTNEY & LEIGH, 10 NORTH 12ST ST, SUPERIOR, WI 54880","MICHAEL STARK/LINDA PODVIN","715-392-5283","YES/6470","  1/10","FULL","NEW AD","x","x",
"CATHARINE LARSEN 7622 BAYHILL TR, DULUTH, MN 55807","CATHARINE LARSEN","218-733-9903","YES","  1/15","FULL","run until ""no""","x","x",
"MAGIC BOX PHOTOGRAPHY CHELSEA MORGAN 1009 E 8TH ST DULUTH,MN 55805","CHELSEA MORGAN","218-728-9959","YES","  1/10","FULL","run until ""no""","x","x",
"MUGGY MOOSE MASSAGE 31 W SUPERIOR ST DULUTH, MN 55802","MARGARET HARSTAD","218-310-6586","YES/7154","  1/20","B/W","run until ""no"" ","x","x",
"OCCUPATIONAL & MANUAL MEDICINE, 1420 LONDON RD, STE 102B DULUTH, MN 55805","SHARON OBST","218-724-6000","YES/453","  1/10","FULL","RUN UNTIL ""NO""","x","x",
"RICHARD TOSSELAND CHRISTAL CENTER 394 LAKE AVE S DULUTH, MN  55802","RICHARD TOSSELAND","218-722-2411","YES","  1/20","FULL",,"x","X",
"THE GREEN MERCANTILE 209 E SUPEROR ST DULUTH, MN  55802","DIANNA VON RABENAU","218-722-1771","YES","  1/ 5","B/W","bodycare ad until ""no""","x","x",
"THERAPUTIC MASSAGE 2020 E 2ND ST DULUTH, MN 55812","BOB GABRES","218-391-9155","YES","  1/20","B/W",,"x","X",
"WAGNER ZAUN ARCHITECT 17 LAKE ST DULUTH, MN 55802","DEBBIE FREEDMAN","218-733-0690","YES/4204","  1/10","FULL","run until ""no""","x","x",
"STACY HOLDEN 2237 S AMNICON RIVER RD SOUTH RANGE, WI 54874","STACY HOLDEN","715-364-8509","YES","  1/ 5","FULL","new ad","x","X",
"WELL BEING COUNSELING SERVICES, 324 W SUPERIOR ST, STE 730, DULUTH, MN 55802","MELANIE  S OLSON","218-340-7884","YES/6165","  1/ 5","FULL","NEW AD","x","X",
"WENDY GRETHEN, 4005 MCCULLOCH ST, DULUTH, MN 55804","WENDY GRETHEN","218-525-5098","YES/4116","  1/15","B/W","NEW AD","x","X",
"WINE CELLARS FITGERS ON-THE-LAKE 600 E SUPERIOR ST DULUTH, MN  55805","DAVID ANDERSON","218-733-0792","YES","  1/20","B/W","run until ""no""","x","x","FIX PHONE NUMBER"
"YOGA NORTH STE 208 4628 PITT ST DULUTH, MN  55804","MOLLY","218-722-9642","YES","  1/10","FULL","new ad","x","X",
